servicename,bom_prod_fkp,bom_prod_total,bom_prod_adoption_percent,bom_nonprod_fkp,bom_nonprod_total,bom_nonprod_adoption_percent,bom_prod_adoption,bom_nonprod_adoption
scrt2-chatbot,0,2,0.0,0,3,0.0,0/2 (0.0%),0/3 (0.0%)
bot-svc-eventlogs,0,1,0.0,0,3,0.0,0/1 (0.0%),0/3 (0.0%)
scrt2-controlplane,0,2,0.0,0,3,0.0,0/2 (0.0%),0/3 (0.0%)
scrt2-routing,0,2,0.0,0,3,0.0,0/2 (0.0%),0/3 (0.0%)
scrt2-telephony,0,2,0.0,0,3,0.0,0/2 (0.0%),0/3 (0.0%)
scrt2-embeddedservice,0,2,0.0,0,3,0.0,0/2 (0.0%),0/3 (0.0%)
scrt2-iamessage,0,2,0.0,0,3,0.0,0/2 (0.0%),0/3 (0.0%)
bot-svc-ratelimit,0,1,0.0,0,3,0.0,0/1 (0.0%),0/3 (0.0%)
scrt2-iaalert,0,2,0.0,0,3,0.0,0/2 (0.0%),0/3 (0.0%)
bot-svc-auth,0,1,0.0,0,3,0.0,0/1 (0.0%),0/3 (0.0%)
scrt2-eventrouter,0,2,0.0,0,3,0.0,0/2 (0.0%),0/3 (0.0%)
scrt2-singleton,0,2,0.0,0,3,0.0,0/2 (0.0%),0/3 (0.0%)
bot-svc-agg,0,1,0.0,0,3,0.0,0/1 (0.0%),0/3 (0.0%)
scrt2-admin,0,2,0.0,0,3,0.0,0/2 (0.0%),0/3 (0.0%)
bot-svc-engine,0,1,0.0,0,3,0.0,0/1 (0.0%),0/3 (0.0%)
scrt2-livemessage,0,2,0.0,0,3,0.0,0/2 (0.0%),0/3 (0.0%)
bot-svc-agg-retry,0,1,0.0,0,3,0.0,0/1 (0.0%),0/3 (0.0%)
bot-svc-api,0,1,0.0,0,3,0.0,0/1 (0.0%),0/3 (0.0%)
c2c-hf,0,1,0.0,0,2,0.0,0/1 (0.0%),0/2 (0.0%)
cafe,0,1,0.0,0,2,0.0,0/1 (0.0%),0/2 (0.0%)
amg-topo-api,0,2,0.0,0,4,0.0,0/2 (0.0%),0/4 (0.0%)
amg-topo-tools,0,2,0.0,0,4,0.0,0/2 (0.0%),0/4 (0.0%)
raphty,0,1,0.0,0,4,0.0,0/1 (0.0%),0/4 (0.0%)
quantumk,0,4,0.0,0,8,0.0,0/4 (0.0%),0/8 (0.0%)
vault-policy-manager,0,2,0.0,0,6,0.0,0/2 (0.0%),0/6 (0.0%)
data-resilience,0,0,0,0,2,0.0,N/A,0/2 (0.0%)
bharosa,0,0,0,0,3,0.0,N/A,0/3 (0.0%)
praui,0,1,0.0,0,2,0.0,0/1 (0.0%),0/2 (0.0%)
strauz,0,2,0.0,0,4,0.0,0/2 (0.0%),0/4 (0.0%)
seciamsvc,0,0,0,0,2,0.0,N/A,0/2 (0.0%)
fit-gdot-service,0,2,0.0,0,3,0.0,0/2 (0.0%),0/3 (0.0%)
segint-sigma,0,0,0,0,5,0.0,N/A,0/5 (0.0%)
e360-api-service,0,1,0.0,0,3,0.0,0/1 (0.0%),0/3 (0.0%)
zero-object-service,0,1,0.0,0,4,0.0,0/1 (0.0%),0/4 (0.0%)
ums-smtp-api,0,0,0,0,2,0.0,N/A,0/2 (0.0%)
e360-email-service,0,1,0.0,0,3,0.0,0/1 (0.0%),0/3 (0.0%)
ums-config-api,0,1,0.0,0,4,0.0,0/1 (0.0%),0/4 (0.0%)
ums-http-blackhole,0,1,0.0,0,4,0.0,0/1 (0.0%),0/4 (0.0%)
ums-config-manager,0,1,0.0,0,4,0.0,0/1 (0.0%),0/4 (0.0%)
semantic-sql-generator,0,1,0.0,0,3,0.0,0/1 (0.0%),0/3 (0.0%)
semantic-analytics-agent,0,0,0,0,1,0.0,N/A,0/1 (0.0%)
ums-dns-api,0,1,0.0,0,4,0.0,0/1 (0.0%),0/4 (0.0%)
e360-sms-service,0,1,0.0,0,3,0.0,0/1 (0.0%),0/3 (0.0%)
e360-worker,0,1,0.0,0,3,0.0,0/1 (0.0%),0/3 (0.0%)
e360-consent,0,0,0,0,1,0.0,N/A,0/1 (0.0%)
data-cloud-segment-gen-ai,0,1,0.0,0,3,0.0,0/1 (0.0%),0/3 (0.0%)
