Org Leader,Parent Cloud,Cloud,Team Name,Service Name,"non-FKP Instance Count 
 Commercial",Commercial ETA,non-FKP Instance Count Gia2h,Gia2h ETA,non-FKP Instance Count Blackjack,BlackJack ETA,Decommission ETA,Feature Dependencies,Comments
Muralidhar Krishnaprasad,D360,D360 Customer Data Platform (CDP),CDP BYOC Function,cdp-byoc-krc,47,Not Started,0,N/A,0,N/A,N/A,"Platform on Platform for Workloads
  Disruption Control, Self-service Nodepools, Dynamic Namespaces, Multi-Account",
Muralidhar Krishnaprasad,D360,D360 Customer Data Platform (CDP),CDP BYOC Function,cdp-byoc-proxy,1,,0,,0,,,,Newly added
Muralidhar Krishnaprasad,D360,D360 Customer Data Platform (CDP),DC - Catalogue,cdp-catalog,36,FY27Q2,0,N/A,0,N/A,N/A,,
Muralidhar Krishnaprasad,D360,D360 Service Delivery,MCI Service Delivery - DC Squad,cdp-control-box,40,FY27Q2,4,Need More Info,0,N/A,N/A,,
Muralidhar Krishnaprasad,D360,D360 Customer Data Platform (CDP),CDP Service Protection,cdp-cors-service,1,FY27Q2,0,N/A,0,N/A,N/A,,
Muralidhar Krishnaprasad,D360,D360 Customer Data Platform (CDP),Fredericton Express,cdp-data-capture-eks,40,To Be Decommissioned,4,To Be Decommissioned,0,N/A,FY27Q4,,
Muralidhar Krishnaprasad,D360,D360 Customer Data Platform (CDP),CDP - Data Clean Room,cdp-data-collaboration,40,FY27Q2,0,N/A,0,N/A,N/A,,
Muralidhar Krishnaprasad,D360,D360 Customer Data Platform (CDP),CDP Connectors Framework (off-core),cdp-data-connectors,40,FY27Q2,4,Need More Info,0,N/A,N/A,"Platform on Platform for Workloads
  Disruption Control, Self-service Nodepools, Dynamic Namespaces, Multi-Account",
Muralidhar Krishnaprasad,D360,D360 Customer Data Platform (CDP),CDP Connectors Framework (off-core),cdp-data-connectors-jobs,90,FY27Q2,3,Need More Info,0,N/A,N/A,"Platform on Platform for Workloads
  Disruption Control, Self-service Nodepools, Dynamic Namespaces, Multi-Account",
Muralidhar Krishnaprasad,D360,D360 Customer Data Platform (CDP),CDP CRM 2,cdp-data-extractor-crm-service,40,FY27Q2,4,Need More Info,0,N/A,N/A,"Platform on Platform for Workloads
  Disruption Control, Self-service Nodepools, Dynamic Namespaces, Multi-Account",
