Service Name,Non-FKP Instance Count,Commercial ETA,GIA ETA,BlackJack ETA,Requirements
sfci-release-master,5 | |,Need More Info,N/A,N/A,None
sfci-team-master,5 | |,Need More Info,N/A,N/A,None
sfci-teambuilds,2 | |,Need More Info,N/A,N/A,None
sfci-teamistio,2 | |,Need More Info,N/A,N/A,None
sfci-unmanagedistio,1 | |,Need More Info,N/A,N/A,None
signed-rpms-replicator,2 | |,Need More Info,N/A,N/A,None
sonarqube,1 | |,Need More Info,N/A,N/A,None
spinnaker,9 | | 1,Need More Info,N/A,Need More Info,None
splunkmadeira,8 | 2 | 1,FY27Q2,FY26Q4,Need More Info,None
stargate,4 | | 1,FY26Q4,N/A,Need More Info,None
stargate-api,1 | |,FY26Q4,N/A,N/A,None
stargate-observer,1 | |,FY26Q4,N/A,N/A,None
stargate-replicator,1 | |,FY26Q4,N/A,N/A,None
steadybit-agent,1 | |,FY26Q3,N/A,N/A,Dependency on CDP
steadybit-canary-ordering,1 | |,FY26Q3,N/A,N/A,Dependency on CDP
steadybit-canary-shipping,1 | |,FY26Q3,N/A,N/A,Dependency on CDP
steadybit-ext-container,1 | |,FY26Q3,N/A,N/A,Dependency on CDP
steadybit-ext-host,1 | |,FY26Q3,N/A,N/A,Dependency on CDP
steadybit-ext-http,1 | |,FY26Q3,N/A,N/A,Dependency on CDP
steadybit-ext-kubernetes,1 | |,FY26Q3,N/A,N/A,Dependency on CDP
terraform,26 | 2 | 1,FY26Q4,Need More Info,Need More Info,None
terraform-latest-tar-updater,1 | |,FY26Q4,N/A,N/A,None
terraform-replicator,2 | |,FY26Q4,N/A,N/A,None
tfregistry,2 | |,Need More Info,N/A,N/A,None
tiim,21 | |,FY26Q4,N/A,N/A,None
uipengsys-artifact-server,2 | |,Need More Info,N/A,N/A,None
uipengsys-eks,2 | |,Need More Info,N/A,N/A,None
uipengsys-internal-ingress-gw,2 | |,Need More Info,N/A,N/A,None
uipengsys-istio,2 | |,Need More Info,N/A,N/A,None
uipengsys-istio-ingress-gateway,2 | |,Need More Info,N/A,N/A,None
uipengsys-queue-server,2 | |,Need More Info,N/A,N/A,None
uipengsys-tekton,2 | |,Need More Info,N/A,N/A,None
ump-controller,29 | 2 |,Need More Info,Need More Info,N/A,None
ump-istio,2 | |,Need More Info,N/A,N/A,None
yum-updater,1 | |,Need More Info,N/A,N/A,None
mce-acdc,21 | 3 |,To Be Decomissioned,To Be Decomissioned,N/A,None
mce-acdc-prodx,18 | |,To Be Decomissioned,N/A,N/A,None
mce-api-gateway,27 | 3 |,To Be Decomissioned,To Be Decomissioned,N/A,None
mce-avant,4 | |,To Be Decomissioned,N/A,N/A,None
mce-castle-black,22 | 3 |,To Be Decomissioned,To Be Decomissioned,N/A,None
mce-castle-black-prodx,18 | |,To Be Decomissioned,N/A,N/A,None
mce-cdp-config,14 | |,To Be Decomissioned,N/A,N/A,None
mce-compute,19 | 3 |,To Be Decomissioned,To Be Decomissioned,N/A,None
mce-control-pod,31 | 3 |,To Be Decomissioned,To Be Decomissioned,N/A,None
mce-deviner,21 | 2 |,To Be Decomissioned,To Be Decomissioned,N/A,None
mce-eci,4 | |,To Be Decomissioned,N/A,N/A,None
mce-eci-ui,4 | |,To Be Decomissioned,N/A,N/A,None
mce-ecs-attr-scan,4 | |,To Be Decomissioned,N/A,N/A,None
mce-ecs-ecrubear,4 | |,To Be Decomissioned,N/A,N/A,None
mce-ecs-metalmastodon,4 | |,To Be Decomissioned,N/A,N/A,None
mce-ecs-pinkpuffin,4 | |,To Be Decomissioned,N/A,N/A,None
mce-ecs-streams,4 | |,To Be Decomissioned,N/A,N/A,None
mce-ecs-ui,4 | |,To Be Decomissioned,N/A,N/A,None
mce-ecs-weather,4 | |,To Be Decomissioned,N/A,N/A,None
mce-ect-vision,4 | |,To Be Decomissioned,N/A,N/A,None
mce-ect-vision-ui,4 | |,To Be Decomissioned,N/A,N/A,None
mce-eef2-activity,4 | |,To Be Decomissioned,N/A,N/A,None
mce-eef2-config,4 | |,To Be Decomissioned,N/A,N/A,None
mce-eef2-service,4 | |,To Be Decomissioned,N/A,N/A,None
