servicename,total_count,on_fkp,percent_on_fkp
tabcld-data-stories-for-dashboards,17,17,100.0
notebook,15,0,0.0
funnel-rl,14,8,57.1
mce-cdp-config,14,0,0.0
mce-lalaland,14,0,0.0
fit-operations,13,12,92.3
lsc-metadata-svc,13,13,100.0
mce-compute,13,0,0.0
mce-sto-mobile,12,0,0.0
cdp-job-uploader,12,0,0.0
egpt-svc-llm-proxy,12,12,100.0
moncloud-events,12,12,100.0
moncloud-streaming,12,12,100.0
ajnazac,12,0,0.0
public-funnellogs,11,6,54.5
public-funnelevents,11,6,54.5
platform-data-replication,11,11,100.0
public-funnel,11,6,54.5
instant-analytics,10,10,100.0
flink-kubernetes-operator,10,10,100.0
o11y-processing-service,10,10,100.0
tabcld-catalog-provider-ext-content,10,10,100.0
tabcld-catalog-query,10,10,100.0
eanalytics-buzzard,10,0,0.0
tabcld-catalog-provider-tableau-content,10,10,100.0
dataplumber-k8s,10,10,100.0
fwe-platform-ft,10,10,100.0
tabcld-ext-content-provider,10,10,100.0
tabcld-vizportal,10,10,100.0
tabcld-custom-domains-service,10,10,100.0
steadybit-agent,10,9,90.0
kubernetesiesta,10,10,100.0
toc-flink-cluster,10,10,100.0
tabcld-catalog-ingestor,10,10,100.0
steadybit-canary-ordering,10,9,90.0
scim-service,10,10,100.0
bot-svc-eventlogs-retry,9,9,100.0
spinnaker,9,0,0.0
steadybit-ext-container,9,8,88.9
bot-svc-ratelimit,9,9,100.0
bot-svc-analytics,9,9,100.0
steadybit-ext-host,9,8,88.9
bot-svc-api,9,9,100.0
rosssal,9,0,0.0
bot-svc-agg-retry,9,9,100.0
bot-svc-auth,9,9,100.0
agent-svc-gsm,9,9,100.0
bot-svc-worker,9,9,100.0
steadybit-ext-kubernetes,9,8,88.9
bot-svc-engine,9,9,100.0
bot-svc-eventlogs,9,9,100.0
sfcd-cs-funnel-metrics,9,0,0.0
steadybit-ext-http,9,8,88.9
bot-svc-analytics-retry,9,9,100.0
bot-svc-agg,9,9,100.0
tabcld-contentprovider,9,9,100.0
steadybit-canary-shipping,9,9,100.0
splunkmadeira,8,0,0.0
sfcd-echovmf,8,0,0.0
pcs-hogs,8,0,0.0
restoreapp,8,8,100.0
pingmesh-agent,8,8,100.0
legacy-trust-admin-api,7,7,100.0
legacy-trust-status-api,7,7,100.0
mj-jblogstash,7,7,100.0
wc-processor,6,6,100.0
mj-jsgw-devicetse,6,6,100.0
mj-jsgw-restmc,6,6,100.0
mj-mta-outbound,6,6,100.0
mj-jsgw-authmc,6,6,100.0
fwe-o2-s2pip,6,6,100.0
deploy-webserver-anypoint,6,6,100.0
wc-adapter,6,6,100.0
mj-jsgw-authtse,6,6,100.0
mj-datatier,6,6,100.0
mce-slt-service,6,0,0.0
mj-dexengine,6,6,100.0
mj-mta-inbound,6,6,100.0
