,fi,fd,k8s_cluster,label_p_servicename
,aag-stage1,deploy,wdpaagstage1ds1,madkub-injection-webhook
,aag-stage1,deploy,wdpaagstage1ds1,madkub-watchdog
,aag-stage1,deploy,wdpaagstage1ds1,metadata-concealer
,aag-stage1,deploy,wdpaagstage1ds1,sfcdekstest1
,aag-stage1,deploy,wdpaagstage1ds1,stampy-webhook
,aag-stage1,diffeo,fit1,clustermanagement
,aag-stage1,diffeo,fit1,collection
,aag-stage1,diffeo,fit1,collectioninjector
,aag-stage1,diffeo,fit1,fit-controller-service
,aag-stage1,diffeo,fit1,fit-test-twister
,aag-stage1,diffeo,fit1,integration-test-service
,aag-stage1,diffeo,fit1,madkub-injection-webhook
,aag-stage1,diffeo,fit1,madkub-watchdog
,aag-stage1,diffeo,fit1,metadata-concealer
,aag-stage1,diffeo,fit1,stampy-webhook
,aag-stage1,diffeo,sam-processing1,collectioninjectortest
,aag-stage1,diffeo,sam-processing1,diffeo-accounts
,aag-stage1,diffeo,sam-processing1,diffeo-extraction
,aag-stage1,diffeo,sam-processing1,diffeo-gateway
,aag-stage1,diffeo,sam-processing1,diffeo-internal-gateway
,aag-stage1,diffeo,sam-processing1,diffeo-model
,aag-stage1,diffeo,sam-processing1,sam
,aag-stage1,dnr,airflow,clustermanagement
,aag-stage1,dnr,airflow,collection
,aag-stage1,dnr,airflow,collectioninjector
,aag-stage1,dnr,airflow,dnr-airflow
,aag-stage1,dnr,airflow,madkub-injection-webhook
,aag-stage1,dnr,airflow,madkub-watchdog
,aag-stage1,dnr,airflow,metadata-concealer
,aag-stage1,dnr,airflow,stampy-webhook
,aag-stage1,dnr,dnr-cnt-eks1,clustermanagement
,aag-stage1,dnr,dnr-cnt-eks1,collection
,aag-stage1,dnr,dnr-cnt-eks1,collectioninjector
,aag-stage1,dnr,dnr-cnt-eks1,dnr-connector
,aag-stage1,dnr,dnr-cnt-eks1,dnr-prism
,aag-stage1,dnr,dnr-cnt-eks1,madkub-injection-webhook
,aag-stage1,dnr,dnr-cnt-eks1,madkub-watchdog
,aag-stage1,dnr,dnr-cnt-eks1,metadata-concealer
,aag-stage1,dnr,dnr-cnt-eks1,stampy-webhook
,aag-stage1,dnr,dnr-k2s-k8s1,clustermanagement
,aag-stage1,dnr,dnr-k2s-k8s1,collection
,aag-stage1,dnr,dnr-k2s-k8s1,collectioninjector
,aag-stage1,dnr,dnr-k2s-k8s1,dnr-k2s
,aag-stage1,dnr,dnr-k2s-k8s1,madkub-injection-webhook
,aag-stage1,dnr,dnr-k2s-k8s1,madkub-watchdog
,aag-stage1,dnr,dnr-k2s-k8s1,metadata-concealer
,aag-stage1,dnr,dnr-k2s-k8s1,stampy-webhook
,aag-stage1,dnr,fit1,clustermanagement
,aag-stage1,dnr,fit1,collection
,aag-stage1,dnr,fit1,collectioninjector
,aag-stage1,dnr,fit1,fit-controller-service
,aag-stage1,dnr,fit1,fit-test-twister
,aag-stage1,dnr,fit1,integration-test-service
,aag-stage1,dnr,fit1,madkub-injection-webhook
,aag-stage1,dnr,fit1,madkub-watchdog
,aag-stage1,dnr,fit1,metadata-concealer
,aag-stage1,dnr,fit1,stampy-webhook
,aag-stage1,dnr,k8s,ajnakafka
,aag-stage1,dnr,k8s,ajnakmf
,aag-stage1,dnr,k8s,ajnaloadmgr
