fi,fd,k8s_cluster,label_p_servicename,customerType,migrationStage
aag-stage1,foundation,soterfalcon1,stampy-webhook,BlackJack,1
aag-stage1,foundation,strauz-cluster,clustermanagement,BlackJack,1
aag-stage1,foundation,strauz-cluster,collection,BlackJack,1
aag-stage1,foundation,strauz-cluster,collectioninjector,BlackJack,1
aag-stage1,foundation,strauz-cluster,madkub-injection-webhook,BlackJack,1
aag-stage1,foundation,strauz-cluster,madkub-watchdog,BlackJack,1
aag-stage1,foundation,strauz-cluster,metadata-concealer,BlackJack,1
aag-stage1,foundation,strauz-cluster,stampy-webhook,BlackJack,1
aag-stage1,foundation,strauz-cluster,strauz,BlackJack,1
aag-stage1,foundation,iac,clustermanagement,BlackJack,1
aag-stage1,foundation,iac,collection,BlackJack,1
aag-stage1,foundation,iac,collectioninjector,BlackJack,1
aag-stage1,foundation,iac,madkub-injection-webhook,BlackJack,1
aag-stage1,foundation,iac,madkub-watchdog,BlackJack,1
aag-stage1,foundation,iac,metadata-concealer,BlackJack,1
aag-stage1,foundation,iac,registry,BlackJack,1
aag-stage1,foundation,iac,stampy-webhook,BlackJack,1
aag-stage1,foundation,iac,terraform,BlackJack,1
aag-stage1,foundation,tentacle1,clustermanagement,BlackJack,1
aag-stage1,foundation,tentacle1,collection,BlackJack,1
aag-stage1,foundation,tentacle1,collectioninjector,BlackJack,1
aag-stage1,foundation,tentacle1,madkub-injection-webhook,BlackJack,1
aag-stage1,foundation,tentacle1,madkub-watchdog,BlackJack,1
aag-stage1,foundation,tentacle1,metadata-concealer,BlackJack,1
aag-stage1,foundation,tentacle1,stampy-webhook,BlackJack,1
aag-stage1,foundation,tentacle1,tentacle,BlackJack,1
aag-stage1,unknown,resultng1,clustermanagement,BlackJack,1
aag-stage1,unknown,resultng1,collection,BlackJack,1
aag-stage1,unknown,resultng1,collectioninjector,BlackJack,1
aag-stage1,unknown,resultng1,madkub-injection-webhook,BlackJack,1
aag-stage1,unknown,resultng1,madkub-watchdog,BlackJack,1
aag-stage1,unknown,resultng1,metadata-concealer,BlackJack,1
aag-stage1,unknown,resultng1,resultng,BlackJack,1
aag-stage1,unknown,resultng1,stampy-webhook,BlackJack,1
aag-stage1,unknown,fit1,clustermanagement,BlackJack,1
aag-stage1,unknown,fit1,collection,BlackJack,1
aag-stage1,unknown,fit1,collectioninjector,BlackJack,1
aag-stage1,unknown,fit1,fit-controller-service,BlackJack,1
aag-stage1,unknown,fit1,fit-test-twister,BlackJack,1
aag-stage1,unknown,fit1,integration-test-service,BlackJack,1
aag-stage1,unknown,fit1,kaiju,BlackJack,1
aag-stage1,unknown,fit1,madkub-injection-webhook,BlackJack,1
aag-stage1,unknown,fit1,madkub-watchdog,BlackJack,1
aag-stage1,unknown,fit1,metadata-concealer,BlackJack,1
aag-stage1,unknown,fit1,stampy-webhook,BlackJack,1
aag-stage1,monitoring,k8s,ajnakafka,BlackJack,1
aag-stage1,monitoring,k8s,ajnakmf,BlackJack,1
aag-stage1,monitoring,k8s,ajnaloadmgr,BlackJack,1
aag-stage1,monitoring,k8s,ajnamirus,BlackJack,1
aag-stage1,monitoring,k8s,clustermanagement,BlackJack,1
aag-stage1,monitoring,k8s,collection,BlackJack,1
aag-stage1,monitoring,k8s,collectioninjector,BlackJack,1
aag-stage1,monitoring,k8s,madkub-injection-webhook,BlackJack,1
aag-stage1,monitoring,k8s,madkub-watchdog,BlackJack,1
aag-stage1,monitoring,k8s,metadata-concealer,BlackJack,1
aag-stage1,monitoring,k8s,stampy-webhook,BlackJack,1
aag-stage1,monitoring,collection1,cloudwatchexporter,BlackJack,1
aag-stage1,monitoring,collection1,clustermanagement,BlackJack,1
aag-stage1,monitoring,collection1,collection,BlackJack,1
aag-stage1,monitoring,collection1,collectioninjector,BlackJack,1
aag-stage1,monitoring,collection1,collectioninjectortest,BlackJack,1
aag-stage1,monitoring,collection1,madkub-injection-webhook,BlackJack,1
aag-stage1,monitoring,collection1,madkub-watchdog,BlackJack,1
aag-stage1,monitoring,collection1,metadata-concealer,BlackJack,1
aag-stage1,monitoring,collection1,stampy-webhook,BlackJack,1
aag-stage1,monitoring,fit1,clustermanagement,BlackJack,1
aag-stage1,monitoring,fit1,collection,BlackJack,1
aag-stage1,monitoring,fit1,collectioninjector,BlackJack,1
aag-stage1,monitoring,fit1,fit-controller-service,BlackJack,1
aag-stage1,monitoring,fit1,fit-test-twister,BlackJack,1
aag-stage1,monitoring,fit1,integration-test-service,BlackJack,1
aag-stage1,monitoring,fit1,madkub-injection-webhook,BlackJack,1
aag-stage1,monitoring,fit1,madkub-watchdog,BlackJack,1
aag-stage1,monitoring,fit1,metadata-concealer,BlackJack,1
aag-stage1,monitoring,fit1,stampy-webhook,BlackJack,1
aag-stage1,monitoring,funnel1,clustermanagement,BlackJack,1
aag-stage1,monitoring,funnel1,collection,BlackJack,1
aag-stage1,monitoring,funnel1,collectioninjector,BlackJack,1
aag-stage1,monitoring,funnel1,funnel,BlackJack,1
aag-stage1,monitoring,funnel1,funnellogs,BlackJack,1
aag-stage1,monitoring,funnel1,madkub-injection-webhook,BlackJack,1
aag-stage1,monitoring,funnel1,madkub-watchdog,BlackJack,1
aag-stage1,monitoring,funnel1,metadata-concealer,BlackJack,1
aag-stage1,monitoring,funnel1,stampy-webhook,BlackJack,1
aag-stage1,monitoring,splunkmadeira1,clustermanagement,BlackJack,1
aag-stage1,monitoring,splunkmadeira1,collection,BlackJack,1
aag-stage1,monitoring,splunkmadeira1,collectioninjector,BlackJack,1
aag-stage1,monitoring,splunkmadeira1,madkub-injection-webhook,BlackJack,1
aag-stage1,monitoring,splunkmadeira1,madkub-watchdog,BlackJack,1
aag-stage1,monitoring,splunkmadeira1,metadata-concealer,BlackJack,1
aag-stage1,monitoring,splunkmadeira1,splunkmadeira,BlackJack,1
aag-stage1,monitoring,splunkmadeira1,stampy-webhook,BlackJack,1
aag-stage1,monitoring,sam-log-mon1,authzwebhook,BlackJack,1
aag-stage1,monitoring,sam-log-mon1,clustermanagement,BlackJack,1
aag-stage1,monitoring,sam-log-mon1,collection,BlackJack,1
aag-stage1,monitoring,sam-log-mon1,collectioninjector,BlackJack,1
aag-stage1,monitoring,sam-log-mon1,collectioninjectortest,BlackJack,1
aag-stage1,monitoring,sam-log-mon1,hbase,BlackJack,1
aag-stage1,monitoring,sam-log-mon1,istio-operator,BlackJack,1
aag-stage1,monitoring,sam-log-mon1,istio-shipping,BlackJack,1
aag-stage1,monitoring,sam-log-mon1,kubesyntheticscaler,BlackJack,1
aag-stage1,monitoring,sam-log-mon1,madkub-injection-webhook,BlackJack,1
aag-stage1,monitoring,sam-log-mon1,madkub-watchdog,BlackJack,1
aag-stage1,monitoring,sam-log-mon1,metadata-concealer,BlackJack,1
aag-stage1,monitoring,sam-log-mon1,sam,BlackJack,1
aag-stage1,monitoring,sam-log-mon1,spo,BlackJack,1
aag-stage1,monitoring,sam-log-mon1,stampy-webhook,BlackJack,1
aag-stage1,monitoring,sam-processing1,argo-rollout,BlackJack,1
aag-stage1,monitoring,sam-processing1,authzwebhook,BlackJack,1
aag-stage1,monitoring,sam-processing1,clustermanagement,BlackJack,1
aag-stage1,monitoring,sam-processing1,collection,BlackJack,1
aag-stage1,monitoring,sam-processing1,collectioninjector,BlackJack,1
aag-stage1,monitoring,sam-processing1,collectioninjectortest,BlackJack,1
aag-stage1,monitoring,sam-processing1,fit-controller-service,BlackJack,1
aag-stage1,monitoring,sam-processing1,fit-test-twister,BlackJack,1
aag-stage1,monitoring,sam-processing1,ingressassistant,BlackJack,1
aag-stage1,monitoring,sam-processing1,ingressgateway,BlackJack,1
aag-stage1,monitoring,sam-processing1,integration-test-service,BlackJack,1
aag-stage1,monitoring,sam-processing1,istio-copilot,BlackJack,1
aag-stage1,monitoring,sam-processing1,istio-metrics-service,BlackJack,1
aag-stage1,monitoring,sam-processing1,istio-operator,BlackJack,1
aag-stage1,monitoring,sam-processing1,istio-ordering,BlackJack,1
aag-stage1,monitoring,sam-processing1,istio-shipping,BlackJack,1
aag-stage1,monitoring,sam-processing1,istiod,BlackJack,1
aag-stage1,monitoring,sam-processing1,kubesyntheticscaler,BlackJack,1
aag-stage1,monitoring,sam-processing1,madkub-injection-webhook,BlackJack,1
aag-stage1,monitoring,sam-processing1,madkub-watchdog,BlackJack,1
aag-stage1,monitoring,sam-processing1,mesh-operator,BlackJack,1
aag-stage1,monitoring,sam-processing1,metadata-concealer,BlackJack,1
aag-stage1,monitoring,sam-processing1,sam,BlackJack,1
aag-stage1,monitoring,sam-processing1,stampy-webhook,BlackJack,1
aag-stage1,pcs,k8s,ajnakafka,BlackJack,1
aag-stage1,pcs,k8s,ajnakmf,BlackJack,1
aag-stage1,pcs,k8s,ajnaloadmgr,BlackJack,1
aag-stage1,pcs,k8s,clustermanagement,BlackJack,1
aag-stage1,pcs,k8s,collection,BlackJack,1
aag-stage1,pcs,k8s,collectioninjector,BlackJack,1
aag-stage1,pcs,k8s,madkub-injection-webhook,BlackJack,1
aag-stage1,pcs,k8s,madkub-watchdog,BlackJack,1
aag-stage1,pcs,k8s,metadata-concealer,BlackJack,1
aag-stage1,pcs,k8s,stampy-webhook,BlackJack,1
aag-stage1,pcs,fit1,clustermanagement,BlackJack,1
aag-stage1,pcs,fit1,collection,BlackJack,1
aag-stage1,pcs,fit1,collectioninjector,BlackJack,1
aag-stage1,pcs,fit1,fit-controller-service,BlackJack,1
aag-stage1,pcs,fit1,fit-test-twister,BlackJack,1
aag-stage1,pcs,fit1,integration-test-service,BlackJack,1
aag-stage1,pcs,fit1,madkub-injection-webhook,BlackJack,1
aag-stage1,pcs,fit1,madkub-watchdog,BlackJack,1
aag-stage1,pcs,fit1,metadata-concealer,BlackJack,1
aag-stage1,pcs,fit1,stampy-webhook,BlackJack,1
aag-stage1,pcs,pcs-services1,clustermanagement,BlackJack,1
aag-stage1,pcs,pcs-services1,collection,BlackJack,1
aag-stage1,pcs,pcs-services1,collectioninjector,BlackJack,1
aag-stage1,pcs,pcs-services1,madkub-injection-webhook,BlackJack,1
aag-stage1,pcs,pcs-services1,madkub-watchdog,BlackJack,1
aag-stage1,pcs,pcs-services1,metadata-concealer,BlackJack,1
aag-stage1,pcs,pcs-services1,pcs,BlackJack,1
aag-stage1,pcs,pcs-services1,pcs-arc,BlackJack,1
aag-stage1,pcs,pcs-services1,pcs-gumberoo,BlackJack,1
aag-stage1,pcs,pcs-services1,pcs-hogs,BlackJack,1
aag-stage1,pcs,pcs-services1,pcs-majordomo,BlackJack,1
aag-stage1,pcs,pcs-services1,pcs-majordomo-operator,BlackJack,1
aag-stage1,pcs,pcs-services1,pcs-misr,BlackJack,1
aag-stage1,pcs,pcs-services1,pcs-tool,BlackJack,1
aag-stage1,pcs,pcs-services1,stampy-webhook,BlackJack,1
aag-stage1,secrets,fit1,clustermanagement,BlackJack,1
aag-stage1,secrets,fit1,collection,BlackJack,1
aag-stage1,secrets,fit1,collectioninjector,BlackJack,1
aag-stage1,secrets,fit1,fit-controller-service,BlackJack,1
aag-stage1,secrets,fit1,fit-test-twister,BlackJack,1
aag-stage1,secrets,fit1,integration-test-service,BlackJack,1
aag-stage1,secrets,fit1,madkub-injection-webhook,BlackJack,1
aag-stage1,secrets,fit1,madkub-watchdog,BlackJack,1
aag-stage1,secrets,fit1,metadata-concealer,BlackJack,1
aag-stage1,secrets,fit1,stampy-webhook,BlackJack,1
aag-stage1,secrets,vault-eks,clustermanagement,BlackJack,4
aag-stage1,secrets,vault-eks,collection,BlackJack,4
aag-stage1,secrets,vault-eks,collectioninjector,BlackJack,4
aag-stage1,secrets,vault-eks,madkub-injection-webhook,BlackJack,4
aag-stage1,secrets,vault-eks,madkub-watchdog,BlackJack,4
aag-stage1,secrets,vault-eks,metadata-concealer,BlackJack,4
aag-stage1,secrets,vault-eks,stampy-webhook,BlackJack,4
aag-stage1,secrets,vault-eks,vault,BlackJack,4
aag-stage1,secrets,vault-eks-zc,clustermanagement,BlackJack,4
aag-stage1,secrets,vault-eks-zc,collection,BlackJack,4
aag-stage1,secrets,vault-eks-zc,collectioninjector,BlackJack,4
aag-stage1,secrets,vault-eks-zc,madkub-injection-webhook,BlackJack,4
aag-stage1,secrets,vault-eks-zc,madkub-watchdog,BlackJack,4
aag-stage1,secrets,vault-eks-zc,metadata-concealer,BlackJack,4
aag-stage1,secrets,vault-eks-zc,stampy-webhook,BlackJack,4
aag-stage1,secrets,vault-eks-zc,vault,BlackJack,4
aag-stage1,tvm,fit1,clustermanagement,BlackJack,1
aag-stage1,tvm,fit1,collection,BlackJack,1
aag-stage1,tvm,fit1,collectioninjector,BlackJack,1
aag-stage1,tvm,fit1,fit-controller-service,BlackJack,1
aag-stage1,tvm,fit1,fit-test-twister,BlackJack,1
aag-stage1,tvm,fit1,integration-test-service,BlackJack,1
aag-stage1,tvm,fit1,madkub-injection-webhook,BlackJack,1
aag-stage1,tvm,fit1,madkub-watchdog,BlackJack,1
aag-stage1,tvm,fit1,metadata-concealer,BlackJack,1
aag-stage1,tvm,fit1,stampy-webhook,BlackJack,1
aag-stage1,tvm,sai-services1,clustermanagement,BlackJack,1
aag-stage1,tvm,sai-services1,collection,BlackJack,1
aag-stage1,tvm,sai-services1,collectioninjector,BlackJack,1
aag-stage1,tvm,sai-services1,madkub-injection-webhook,BlackJack,1
aag-stage1,tvm,sai-services1,madkub-watchdog,BlackJack,1
aag-stage1,tvm,sai-services1,metadata-concealer,BlackJack,1
aag-stage1,tvm,sai-services1,sai-gateway,BlackJack,1
aag-stage1,tvm,sai-services1,stampy-webhook,BlackJack,1
