fi,fd,k8s_cluster,label_p_servicename,customerType,migrationStage
aag-stage1,deploy,artifact-mgmt1,collection,BlackJack,1
aag-stage1,deploy,artifact-mgmt1,collectioninjector,BlackJack,1
aag-stage1,deploy,artifact-mgmt1,ecr-perms,BlackJack,1
aag-stage1,deploy,artifact-mgmt1,fcp-unzip,BlackJack,1
aag-stage1,deploy,artifact-mgmt1,helm-extractor,BlackJack,1
aag-stage1,deploy,artifact-mgmt1,madkub-injection-webhook,BlackJack,1
aag-stage1,deploy,artifact-mgmt1,madkub-watchdog,BlackJack,1
aag-stage1,deploy,artifact-mgmt1,metadata-concealer,BlackJack,1
aag-stage1,deploy,artifact-mgmt1,stampy-webhook,BlackJack,1
aag-stage1,deploy,artifact-mgmt1,stargate,BlackJack,1
aag-stage1,foundation,k8s,ajnaendpoint,BlackJack,1
aag-stage1,foundation,k8s,ajnakafka,BlackJack,1
aag-stage1,foundation,k8s,ajnakmf,BlackJack,1
aag-stage1,foundation,k8s,ajnaloadmgr,BlackJack,1
aag-stage1,foundation,k8s,ajnamirus,BlackJack,1
aag-stage1,foundation,k8s,clustermanagement,BlackJack,1
aag-stage1,foundation,k8s,collection,BlackJack,1
aag-stage1,foundation,k8s,collectioninjector,BlackJack,1
aag-stage1,foundation,k8s,madkub-injection-webhook,BlackJack,1
aag-stage1,foundation,k8s,madkub-watchdog,BlackJack,1
aag-stage1,foundation,k8s,metadata-concealer,BlackJack,1
aag-stage1,foundation,k8s,stampy-webhook,BlackJack,1
aag-stage1,foundation,c4ssh1,c4ssh,BlackJack,1
aag-stage1,foundation,c4ssh1,clustermanagement,BlackJack,1
aag-stage1,foundation,c4ssh1,collection,BlackJack,1
aag-stage1,foundation,c4ssh1,collectioninjector,BlackJack,1
aag-stage1,foundation,c4ssh1,madkub-injection-webhook,BlackJack,1
aag-stage1,foundation,c4ssh1,madkub-watchdog,BlackJack,1
aag-stage1,foundation,c4ssh1,metadata-concealer,BlackJack,1
aag-stage1,foundation,c4ssh1,stampy-webhook,BlackJack,1
aag-stage1,foundation,certserv,certificateservices,BlackJack,1
aag-stage1,foundation,certserv,clustermanagement,BlackJack,1
aag-stage1,foundation,certserv,collection,BlackJack,1
aag-stage1,foundation,certserv,collectioninjector,BlackJack,1
aag-stage1,foundation,certserv,madkub-injection-webhook,BlackJack,1
aag-stage1,foundation,certserv,madkub-watchdog,BlackJack,1
aag-stage1,foundation,certserv,metadata-concealer,BlackJack,1
aag-stage1,foundation,certserv,stampy-webhook,BlackJack,1
aag-stage1,foundation,fit1,clustermanagement,BlackJack,1
aag-stage1,foundation,fit1,collection,BlackJack,1
aag-stage1,foundation,fit1,collectioninjector,BlackJack,1
aag-stage1,foundation,fit1,fit-controller-service,BlackJack,1
aag-stage1,foundation,fit1,fit-results-publisher,BlackJack,1
aag-stage1,foundation,fit1,fit-test-twister,BlackJack,1
aag-stage1,foundation,fit1,integration-test-service,BlackJack,1
aag-stage1,foundation,fit1,madkub-injection-webhook,BlackJack,1
aag-stage1,foundation,fit1,madkub-watchdog,BlackJack,1
aag-stage1,foundation,fit1,metadata-concealer,BlackJack,1
aag-stage1,foundation,fit1,stampy-webhook,BlackJack,1
aag-stage1,foundation,jit1,clustermanagement,BlackJack,1
aag-stage1,foundation,jit1,collection,BlackJack,1
aag-stage1,foundation,jit1,collectioninjector,BlackJack,1
aag-stage1,foundation,jit1,jit,BlackJack,1
aag-stage1,foundation,jit1,madkub-injection-webhook,BlackJack,1
aag-stage1,foundation,jit1,madkub-watchdog,BlackJack,1
aag-stage1,foundation,jit1,metadata-concealer,BlackJack,1
aag-stage1,foundation,jit1,stampy-webhook,BlackJack,1
aag-stage1,foundation,magister-prod,clustermanagement,BlackJack,1
aag-stage1,foundation,magister-prod,collection,BlackJack,1
aag-stage1,foundation,magister-prod,collectioninjector,BlackJack,1
aag-stage1,foundation,magister-prod,madkub-injection-webhook,BlackJack,1
aag-stage1,foundation,magister-prod,madkub-watchdog,BlackJack,1
aag-stage1,foundation,magister-prod,magister,BlackJack,1
aag-stage1,foundation,magister-prod,metadata-concealer,BlackJack,1
aag-stage1,foundation,magister-prod,stampy-webhook,BlackJack,1
aag-stage1,foundation,magister-zc,clustermanagement,BlackJack,1
aag-stage1,foundation,magister-zc,collection,BlackJack,1
aag-stage1,foundation,magister-zc,collectioninjector,BlackJack,1
aag-stage1,foundation,magister-zc,madkub-injection-webhook,BlackJack,1
aag-stage1,foundation,magister-zc,madkub-watchdog,BlackJack,1
aag-stage1,foundation,magister-zc,magister,BlackJack,1
aag-stage1,foundation,magister-zc,metadata-concealer,BlackJack,1
aag-stage1,foundation,magister-zc,stampy-webhook,BlackJack,1
aag-stage1,foundation,pkip,clustermanagement,BlackJack,1
aag-stage1,foundation,pkip,collection,BlackJack,1
aag-stage1,foundation,pkip,collectioninjector,BlackJack,1
aag-stage1,foundation,pkip,madkub-injection-webhook,BlackJack,1
aag-stage1,foundation,pkip,madkub-watchdog,BlackJack,1
aag-stage1,foundation,pkip,metadata-concealer,BlackJack,1
aag-stage1,foundation,pkip,pkicontroller,BlackJack,1
aag-stage1,foundation,pkip,pkiinfra,BlackJack,1
aag-stage1,foundation,pkip,raphty,BlackJack,1
aag-stage1,foundation,pkip,stampy-webhook,BlackJack,1
aag-stage1,foundation,quantumk-a,clustermanagement,BlackJack,1
aag-stage1,foundation,quantumk-a,collection,BlackJack,1
aag-stage1,foundation,quantumk-a,collectioninjector,BlackJack,1
aag-stage1,foundation,quantumk-a,madkub-injection-webhook,BlackJack,1
aag-stage1,foundation,quantumk-a,madkub-watchdog,BlackJack,1
aag-stage1,foundation,quantumk-a,metadata-concealer,BlackJack,1
aag-stage1,foundation,quantumk-a,quantumk,BlackJack,1
