servicename,total_count,on_fkp,percent_on_fkp
cdp-envoy-metrics-scraper,3,0,0.0
cdp-activation-service,3,0,0.0
eflow-orchestration,3,3,100.0
eflow-scheduler,3,3,100.0
eventbusruntime,3,3,100.0
semantic-engine-gateway,3,3,100.0
ums-grpc-api,3,3,100.0
evf-service,3,3,100.0
hawking-compute-eks,3,0,0.0
bot-svc-api,3,3,100.0
cdp-mgmt-cmdgateway,3,0,0.0
hawking-ml-console,3,3,100.0
mce-sto-worker,3,0,0.0
cdp-keda,3,0,0.0
hawking-oauth2,3,0,0.0
cdp-airflow-service,3,0,0.0
semantic-query-preparer,3,3,100.0
mce-sto-service,3,0,0.0
edc-inference,3,0,0.0
ums-event-service,3,3,100.0
bot-svc-agg,3,3,100.0
data-cloud-segment-gen-ai,3,3,100.0
e360-api-service,3,3,100.0
high-scale-flow,3,3,100.0
mce-goodbye,3,0,0.0
tua-insights-service,3,3,100.0
ums-config-api,3,3,100.0
scrt2-transcripts,3,3,100.0
cdp-admin-service,3,0,0.0
mce-sprinkler,3,0,0.0
cdp-infra,3,0,0.0
mce-castle-black,3,0,0.0
tua-timeseries-service,3,3,100.0
cdp-data-connectors,3,0,0.0
data-prism,3,3,100.0
hawking-istio-operator,3,0,0.0
ums-mta-inbound,3,3,100.0
mce-control-pod,3,0,0.0
mce-istio,3,0,0.0
triton,3,3,100.0
bot-svc-engine,3,3,100.0
ai-metadata-service,3,0,0.0
mvs,3,3,100.0
e360-sms-service,3,3,100.0
notebook,3,0,0.0
e360-metadata-service,3,3,100.0
interactive-data-science,3,3,100.0
caaspc,3,3,100.0
mce-eks,3,0,0.0
edc-director,3,0,0.0
einstein-ai-gateway,3,3,100.0
e360-queue-manager-service,3,3,100.0
mce-provisioner,3,0,0.0
cdp-gdpr-service,3,0,0.0
cdp-data-capture-eks,3,0,0.0
ums-mail-processor,3,3,100.0
cdp-partner-activation-service,3,0,0.0
cdp-dpc-eks,3,0,0.0
cdp-geo-provisioning-service,3,0,0.0
mce-orchard,3,0,0.0
e360-worker,3,3,100.0
cdp-profile-engine,3,0,0.0
cdp-eks,3,0,0.0
modelstore,3,3,100.0
mce-internal-ingress-gateway,3,0,0.0
cdp-beacon-metrics-scraper,3,0,0.0
cdp-billing-service,3,0,0.0
scrt2-chatbot,3,3,100.0
hawking-compute-proxy,3,0,0.0
bot-svc-llm,3,3,100.0
cdp-data-extractor-dispatcher,3,0,0.0
edc-model-builder,3,0,0.0
cdp-authentication-service,3,0,0.0
cdp-iceberg-explorer,3,0,0.0
copilot-p13n,3,3,100.0
ums-smtp-blackhole,3,3,100.0
bot-svc-agg-retry,3,3,100.0
ccp-eventprocessor,3,3,100.0
ccp-submitter,3,3,100.0
data-cloud-cdp-fabric-access,3,0,0.0
mce-envoy-metrics-scraper,3,0,0.0
ums-config-manager,3,3,100.0
bot-svc-worker,3,3,100.0
credential-service,3,0,0.0
cdp-mgmt-jit-ui,3,0,0.0
cdp-realtime-service,3,0,0.0
ccp-tracker,3,3,100.0
platform-radio,3,3,100.0
ccp-jobstate,3,3,100.0
einstein-transcribe,3,3,100.0
mce-metrics-guard,3,3,100.0
vaultlite,3,3,100.0
prediction,3,3,100.0
psp-index-manager,3,0,0.0
bot-svc-eventlogs,3,3,100.0
auth-service,3,3,100.0
mllake,3,3,100.0
hawking-istio-igw,3,0,0.0
cdp-beacon-istio,3,0,0.0
cdp-scheduler-service,3,0,0.0
cdp-hyperdb,3,0,0.0
cdp-data-extractor-crm-service,3,0,0.0
cdp-policy-engine,3,0,0.0
ccp-esproxy,3,3,100.0
ccp-server,3,3,100.0
e360-tracking-service,3,3,100.0
cdp-data-sync-service,3,0,0.0
sfs-eso-data-update,2,2,100.0
fawkes-ui,2,2,100.0
pupparazzi,2,2,100.0
sfs-eso-data-fetch,2,2,100.0
bdmpresto-superset,2,2,100.0
baas,2,0,0.0
dnr-molokai,2,0,0.0
fmt-tooling,2,2,100.0
argo-workflows,2,2,100.0
onyx-engine-control-pod,2,2,100.0
dnr-search-troll,2,2,100.0
sdb-healthreports,2,2,100.0
onyx-engine,2,2,100.0
smscanary,2,2,100.0
pkiinfra,2,0,0.0
sai-gateway,2,0,0.0
